taskId,method,model,run,ok,tracePath,success,totalDurationMs,invalidActionCount,replanningCount,executionSteps,finalTick,pddlDomainModelId,pddlEmbedded,agenticReplans,learnedLessons,finalDomainLessons,finalDomainActions,symbolicReplans,verifierEvidence,domainPath,domainUse,domainGeneratedThisTrial,initialStateSnapshotPath,ragContextEnabled,completedAt
mine_iron_varrock,learned_domain,gemma3:12b,1,true,runs\traces\2026-05-07T06-13-37-213Z-learned_domain-mine_iron_varrock.json,false,40,1,0,2,93,short-model-id,true,0,0,0,7,0,inventory gained Iron ore: 0/1 | Mining xp gained: 0,runs\domain-models\mine_iron_varrock-learned_domain-rag-gemma3_12b-trial-1-run-1.json,Graph RAG + LLM domain extraction (runs\domain-models\mine_iron_varrock-learned_domain-rag-gemma3_12b-trial-1-run-1.json),true,runs\domain-models\state-snapshots\mine_iron_varrock-learned_domain-gemma3_12b-trial-1-run-1.json,true,2026-05-07T06:13:37.277Z
mine_iron_varrock,learned_domain,gemma3:12b,2,true,runs\traces\2026-05-07T06-14-36-761Z-learned_domain-mine_iron_varrock.json,false,39,1,0,2,95,short-model-id,true,0,0,0,9,0,inventory gained Iron ore: 0/1 | Mining xp gained: 0,runs\domain-models\mine_iron_varrock-learned_domain-rag-gemma3_12b-trial-2-run-2.json,Graph RAG + LLM domain extraction (runs\domain-models\mine_iron_varrock-learned_domain-rag-gemma3_12b-trial-2-run-2.json),true,runs\domain-models\state-snapshots\mine_iron_varrock-learned_domain-gemma3_12b-trial-2-run-2.json,true,2026-05-07T06:14:36.819Z
