taskId,method,model,run,ok,tracePath,success,totalDurationMs,invalidActionCount,replanningCount,executionSteps,finalTick,pddlDomainModelId,pddlEmbedded,agenticReplans,learnedLessons,finalDomainLessons,finalDomainActions,symbolicReplans,verifierEvidence,domainPath,domainUse,domainGeneratedThisTrial,initialStateSnapshotPath,ragContextEnabled,completedAt
cook_shrimp_alkharid,learned_domain,gemma3:12b,1,true,runs\traces\2026-05-07T03-41-05-481Z-learned_domain-cook_shrimp_alkharid.json,true,93706,1,1,3,228,short-model-id-cook_shrimp_alkharid,true,1,1,2,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-learned_domain-rag-gemma3_12b-trial-1-run-1.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-learned_domain-rag-gemma3_12b-trial-1-run-1.json),true,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-1-run-1.json,true,2026-05-07T03:42:39.216Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,2,true,runs\traces\2026-05-07T03-43-44-734Z-learned_domain-cook_shrimp_alkharid.json,true,98879,1,1,3,177,short-model-id-cook_shrimp_alkharid,true,1,1,4,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-1.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-1.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-2-run-2.json,true,2026-05-07T03:45:23.639Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,3,true,runs\traces\2026-05-07T03-46-28-689Z-learned_domain-cook_shrimp_alkharid.json,true,99320,1,1,3,178,short-model-id-cook_shrimp_alkharid,true,1,1,5,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-2.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-2.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-3-run-3.json,true,2026-05-07T03:48:08.036Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,4,true,runs\traces\2026-05-07T03-49-12-394Z-learned_domain-cook_shrimp_alkharid.json,true,95815,1,1,3,172,short-model-id-cook_shrimp_alkharid,true,1,1,7,3,1,inventory gained ^Shrimps$: 1/1 | Cooking xp gained: 30,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-3.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-3.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-4-run-4.json,true,2026-05-07T03:50:48.236Z
cook_shrimp_alkharid,learned_domain,gemma3:12b,5,false,,,,,,,,,,,,,,,,runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-4.json,Graph RAG + LLM domain extraction (runs\domain-models\cook_shrimp_alkharid-gemma3_12b-learned-run-4.json),false,runs\domain-models\state-snapshots\cook_shrimp_alkharid-learned_domain-gemma3_12b-trial-5-run-5.json,true,2026-05-07T03:52:20.657Z
